# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 51.750, -1.274 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/London", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "51.7500805", "lon": "-1.2737942", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1482.145", "system_loss": "0.3", "tracking": "0", "tilt": "37", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 00:00,0,0,0,5.952
2019-01-01 01:00,2019-01-01 01:00,0,0,0,5.833
2019-01-01 02:00,2019-01-01 02:00,0,0,0,5.697
2019-01-01 03:00,2019-01-01 03:00,0,0,0,5.934
2019-01-01 04:00,2019-01-01 04:00,0,0,0,6.206
2019-01-01 05:00,2019-01-01 05:00,0,0,0,6.341
2019-01-01 06:00,2019-01-01 06:00,0,0,0,6.440
2019-01-01 07:00,2019-01-01 07:00,0,0,0,6.518
2019-01-01 08:00,2019-01-01 08:00,0,0.001,0.004,6.719
2019-01-01 09:00,2019-01-01 09:00,16.867,0.005,0.030,7.179
2019-01-01 10:00,2019-01-01 10:00,50.774,0.010,0.059,7.844
2019-01-01 11:00,2019-01-01 11:00,102.361,0.028,0.093,8.589
2019-01-01 12:00,2019-01-01 12:00,128.008,0.043,0.103,9.111
2019-01-01 13:00,2019-01-01 13:00,148.025,0.067,0.098,9.251
2019-01-01 14:00,2019-01-01 14:00,91.201,0.045,0.064,8.792
2019-01-01 15:00,2019-01-01 15:00,21.108,0.020,0.019,7.256
2019-01-01 16:00,2019-01-01 16:00,0,0,0,5.401
2019-01-01 17:00,2019-01-01 17:00,0,0,0,4.022
2019-01-01 18:00,2019-01-01 18:00,0,0,0,3.134
2019-01-01 19:00,2019-01-01 19:00,0,0,0,2.392
2019-01-01 20:00,2019-01-01 20:00,0,0,0,1.861
2019-01-01 21:00,2019-01-01 21:00,0,0,0,1.809
2019-01-01 22:00,2019-01-01 22:00,0,0,0,1.984
2019-01-01 23:00,2019-01-01 23:00,0,0,0,1.915
2019-01-02 00:00,2019-01-02 00:00,0,0,0,1.073
2019-01-02 01:00,2019-01-02 01:00,0,0,0,0.506
2019-01-02 02:00,2019-01-02 02:00,0,0,0,0.124
2019-01-02 03:00,2019-01-02 03:00,0,0,0,-0.131
2019-01-02 04:00,2019-01-02 04:00,0,0,0,-0.593
2019-01-02 05:00,2019-01-02 05:00,0,0,0,-0.925
2019-01-02 06:00,2019-01-02 06:00,0,0,0,-1.275
2019-01-02 07:00,2019-01-02 07:00,0,0,0,-1.688
2019-01-02 08:00,2019-01-02 08:00,28.293,0.033,0.013,-1.773
2019-01-02 09:00,2019-01-02 09:00,240.478,0.192,0.052,-0.234
2019-01-02 10:00,2019-01-02 10:00,444.959,0.379,0.067,1.003
2019-01-02 11:00,2019-01-02 11:00,497.727,0.426,0.077,2.371
2019-01-02 12:00,2019-01-02 12:00,475.975,0.403,0.082,4.052
2019-01-02 13:00,2019-01-02 13:00,381.748,0.311,0.078,4.571
2019-01-02 14:00,2019-01-02 14:00,223.193,0.172,0.060,4.045
2019-01-02 15:00,2019-01-02 15:00,50.754,0.049,0.020,1.984
2019-01-02 16:00,2019-01-02 16:00,0,0,0,0.721
2019-01-02 17:00,2019-01-02 17:00,0,0,0,0.502
2019-01-02 18:00,2019-01-02 18:00,0,0,0,0.398
2019-01-02 19:00,2019-01-02 19:00,0,0,0,0.400
2019-01-02 20:00,2019-01-02 20:00,0,0,0,0.468
2019-01-02 21:00,2019-01-02 21:00,0,0,0,0.449
2019-01-02 22:00,2019-01-02 22:00,0,0,0,0.197
2019-01-02 23:00,2019-01-02 23:00,0,0,0,-0.144
2019-01-03 00:00,2019-01-03 00:00,0,0,0,-0.379
2019-01-03 01:00,2019-01-03 01:00,0,0,0,-0.549
2019-01-03 02:00,2019-01-03 02:00,0,0,0,-0.740
2019-01-03 03:00,2019-01-03 03:00,0,0,0,-0.879
2019-01-03 04:00,2019-01-03 04:00,0,0,0,-0.829
2019-01-03 05:00,2019-01-03 05:00,0,0,0,-0.786
2019-01-03 06:00,2019-01-03 06:00,0,0,0,-0.738
2019-01-03 07:00,2019-01-03 07:00,0,0,0,-0.623
2019-01-03 08:00,2019-01-03 08:00,13.699,0.018,0.013,-0.255
2019-01-03 09:00,2019-01-03 09:00,140.563,0.093,0.059,1.053
2019-01-03 10:00,2019-01-03 10:00,295.373,0.211,0.088,2.180
2019-01-03 11:00,2019-01-03 11:00,386.830,0.291,0.100,3.607
2019-01-03 12:00,2019-01-03 12:00,302.622,0.200,0.109,4.018
2019-01-03 13:00,2019-01-03 13:00,213.874,0.127,0.096,3.951
2019-01-03 14:00,2019-01-03 14:00,124.937,0.074,0.065,3.512
2019-01-03 15:00,2019-01-03 15:00,28.214,0.025,0.021,2.191
2019-01-03 16:00,2019-01-03 16:00,0,0,0,1.189
2019-01-03 17:00,2019-01-03 17:00,0,0,0,0.346
2019-01-03 18:00,2019-01-03 18:00,0,0,0,-0.591
2019-01-03 19:00,2019-01-03 19:00,0,0,0,-1.161
2019-01-03 20:00,2019-01-03 20:00,0,0,0,-1.307
2019-01-03 21:00,2019-01-03 21:00,0,0,0,-1.404
2019-01-03 22:00,2019-01-03 22:00,0,0,0,-1.636
2019-01-03 23:00,2019-01-03 23:00,0,0,0,-1.044
2019-01-04 00:00,2019-01-04 00:00,0,0,0,-0.923
2019-01-04 01:00,2019-01-04 01:00,0,0,0,-1.659
2019-01-04 02:00,2019-01-04 02:00,0,0,0,-2.322
2019-01-04 03:00,2019-01-04 03:00,0,0,0,-2.424
2019-01-04 04:00,2019-01-04 04:00,0,0,0,-2.117
2019-01-04 05:00,2019-01-04 05:00,0,0,0,-2.200
2019-01-04 06:00,2019-01-04 06:00,0,0,0,-2.465
2019-01-04 07:00,2019-01-04 07:00,0,0,0,-2.715
2019-01-04 08:00,2019-01-04 08:00,34.945,0.037,0.014,-2.720
